age,income,loan_amount,employment_type,education,marital_status,loan_purpose,default
51,216010,328785,Salaried,High School,Divorced,Business,0
38,397505,736071,Salaried,Post-Graduate,Married,Education,0
58,568692,169593,Self-Employed,Post-Graduate,Single,Car,0
44,499459,789877,Salaried,High School,Married,Car,1
43,1148034,355026,Salaried,High School,Married,Personal,0
42,696776,376296,Self-Employed,Post-Graduate,Married,Business,0
22,1465598,615068,Salaried,Graduate,Single,Home,0
51,1079871,370727,Salaried,Graduate,Married,Car,0
31,804554,602158,Salaried,Graduate,Single,Home,0
48,817722,663006,Self-Employed,High School,Married,Personal,0
52,740218,741141,Self-Employed,Graduate,Married,Car,0
25,1117114,497592,Self-Employed,Post-Graduate,Married,Car,0
58,886342,464217,Salaried,High School,Married,Education,0
30,205378,169752,Unemployed,Post-Graduate,Single,Personal,1
44,1032834,391745,Salaried,Graduate,Married,Personal,0
55,1156945,276280,Salaried,Graduate,Single,Education,0
43,1328288,706247,Self-Employed,High School,Single,Personal,0
37,851355,159950,Self-Employed,Post-Graduate,Divorced,Education,0
21,1192419,640568,Self-Employed,Post-Graduate,Single,Education,0
51,1481679,139156,Salaried,Graduate,Married,Education,0
51,1105116,463036,Salaried,Graduate,Divorced,Business,0
54,293104,595835,Salaried,Graduate,Married,Car,0
29,1009197,119600,Salaried,Post-Graduate,Divorced,Car,0
42,914413,546746,Salaried,Post-Graduate,Divorced,Car,0
33,689554,625396,Self-Employed,High School,Single,Business,0
45,616412,322862,Salaried,High School,Single,Car,1
38,1395116,494070,Salaried,Post-Graduate,Single,Education,0
32,1342961,293916,Salaried,High School,Single,Home,0
37,564793,54214,Salaried,High School,Married,Home,0
35,850806,402741,Self-Employed,Post-Graduate,Single,Car,0
35,534726,502716,Self-Employed,Graduate,Single,Personal,1
35,335258,429333,Unemployed,Graduate,Married,Car,1
59,570301,651326,Self-Employed,Graduate,Single,Business,1
33,795792,415575,Salaried,High School,Single,Personal,0
37,1359336,562511,Self-Employed,High School,Married,Home,0
52,1231306,747386,Salaried,Graduate,Married,Education,0
29,1238913,162424,Salaried,Graduate,Single,Car,0
40,903671,295453,Salaried,Post-Graduate,Married,Car,1
46,1254963,703187,Salaried,Graduate,Single,Car,0
47,748682,584295,Salaried,Graduate,Single,Personal,0
41,538971,290366,Self-Employed,Post-Graduate,Single,Business,0
38,573254,693032,Salaried,Graduate,Single,Education,0
33,1147597,623637,Self-Employed,Graduate,Single,Education,0
36,387708,340091,Unemployed,High School,Single,Car,1
29,661362,357419,Unemployed,Post-Graduate,Married,Education,0
32,235241,186035,Unemployed,Graduate,Married,Education,1
58,1276913,696944,Self-Employed,High School,Single,Car,0
39,1087424,621485,Salaried,High School,Single,Car,0
27,1151562,203752,Salaried,Graduate,Married,Business,1
55,668979,240988,Self-Employed,Graduate,Married,Car,0
38,257450,271094,Self-Employed,Graduate,Divorced,Car,0
36,1169263,409118,Unemployed,High School,Single,Business,0
59,1308105,726606,Self-Employed,High School,Divorced,Business,0
24,1017766,436205,Salaried,Graduate,Single,Education,0
45,787740,425601,Unemployed,Post-Graduate,Married,Car,0
52,971736,517200,Unemployed,Post-Graduate,Married,Personal,0
33,1093450,781836,Salaried,Graduate,Single,Car,0
37,525262,675154,Self-Employed,Post-Graduate,Single,Education,0
57,1333839,393276,Self-Employed,Graduate,Single,Home,0
26,326775,113409,Salaried,Graduate,Married,Business,0
39,1297793,735987,Self-Employed,Graduate,Divorced,Car,0
33,1148643,395731,Salaried,High School,Single,Personal,0
46,940690,269306,Salaried,High School,Married,Personal,1
34,1317093,121949,Salaried,High School,Single,Car,0
51,1392433,383414,Self-Employed,High School,Married,Home,0
24,1303316,353740,Salaried,Graduate,Married,Business,0
59,825407,80786,Salaried,High School,Married,Car,0
28,925992,568918,Unemployed,Graduate,Married,Education,0
45,738238,172887,Salaried,High School,Married,Business,0
33,657858,657787,Salaried,Post-Graduate,Single,Personal,0
52,1315854,73999,Self-Employed,Graduate,Divorced,Home,0
58,238488,721878,Salaried,Graduate,Single,Education,0
58,498421,733767,Self-Employed,Graduate,Single,Car,0
48,1424689,341645,Salaried,Post-Graduate,Single,Business,1
50,976434,152424,Self-Employed,Post-Graduate,Married,Car,0
23,401744,347424,Salaried,High School,Single,Personal,0
48,1319697,498473,Unemployed,Graduate,Married,Home,0
23,686110,341189,Salaried,Post-Graduate,Single,Education,0
54,536234,535571,Salaried,Post-Graduate,Married,Personal,0
36,309777,74432,Unemployed,Graduate,Married,Car,0
42,1173814,338889,Self-Employed,Graduate,Married,Education,1
52,614526,432864,Self-Employed,High School,Single,Car,0
58,542797,308606,Salaried,Post-Graduate,Married,Car,0
28,1053690,407976,Salaried,Graduate,Single,Home,0
28,1453795,558811,Salaried,Graduate,Married,Home,0
26,916932,535237,Salaried,Graduate,Married,Home,0
34,1055832,284534,Salaried,Graduate,Single,Home,0
52,1446251,434611,Unemployed,Graduate,Single,Home,0
55,422584,618036,Salaried,Graduate,Single,Business,0
30,435814,171778,Salaried,Graduate,Single,Home,0
23,316107,535237,Salaried,Graduate,Single,Home,0
32,1115900,676893,Self-Employed,High School,Married,Education,0
51,702845,181070,Salaried,Graduate,Married,Education,0
49,836724,619926,Salaried,Post-Graduate,Married,Education,0
25,493275,244216,Self-Employed,Graduate,Married,Business,0
45,523904,392427,Salaried,Graduate,Single,Home,0
51,704962,77980,Salaried,Graduate,Single,Business,0
41,591985,550116,Salaried,Graduate,Married,Business,0
40,254470,732371,Salaried,High School,Single,Car,0
59,1106120,207158,Salaried,Graduate,Married,Business,0
42,515427,270541,Salaried,Graduate,Married,Car,0
24,1230934,644786,Salaried,Graduate,Single,Personal,1
33,854551,572099,Salaried,Graduate,Divorced,Education,0
40,333425,748638,Salaried,Post-Graduate,Married,Car,0
33,476022,378537,Salaried,Graduate,Divorced,Personal,0
37,276668,311549,Salaried,Graduate,Married,Business,0
56,734610,639446,Salaried,Graduate,Married,Car,0
53,1063263,668129,Salaried,Post-Graduate,Divorced,Business,1
21,651991,176948,Unemployed,Post-Graduate,Married,Car,0
35,1284501,637924,Salaried,Graduate,Married,Education,0
33,1465426,155075,Self-Employed,Post-Graduate,Divorced,Business,0
37,581640,758794,Self-Employed,Graduate,Single,Home,0
44,353594,197475,Self-Employed,Graduate,Single,Home,0
28,375666,759969,Self-Employed,High School,Married,Car,0
47,1064063,52420,Self-Employed,Graduate,Single,Education,0
43,1032767,192290,Self-Employed,Post-Graduate,Single,Business,0
28,978480,787346,Unemployed,Graduate,Single,Business,0
28,699404,473350,Salaried,Graduate,Single,Car,0
46,234723,315277,Salaried,Post-Graduate,Single,Education,0
33,1154337,673377,Salaried,Post-Graduate,Married,Personal,1
59,1395715,115370,Self-Employed,Post-Graduate,Married,Business,0
57,213763,564669,Salaried,Post-Graduate,Married,Personal,0
48,645171,560036,Unemployed,Post-Graduate,Single,Business,0
45,769151,698597,Salaried,Post-Graduate,Single,Car,0
36,366169,100570,Salaried,Post-Graduate,Married,Education,0
22,382922,250298,Salaried,High School,Married,Home,0
38,384918,149851,Self-Employed,Post-Graduate,Divorced,Car,0
37,1362753,357375,Self-Employed,Graduate,Single,Home,0
50,891154,394422,Salaried,Graduate,Single,Personal,0
59,918684,313706,Self-Employed,Graduate,Single,Personal,0
33,551911,775282,Salaried,Graduate,Single,Car,0
52,1175990,758322,Salaried,Graduate,Single,Personal,0
49,987443,263639,Salaried,Graduate,Single,Business,0
50,878787,302435,Self-Employed,High School,Single,Education,0
38,783278,181335,Self-Employed,Graduate,Single,Car,0
33,1065212,794382,Salaried,Graduate,Married,Personal,0
41,675354,696979,Salaried,Post-Graduate,Married,Personal,1
50,1227588,56646,Self-Employed,Graduate,Single,Personal,0
41,1469646,147439,Salaried,High School,Divorced,Personal,0
37,223536,650972,Salaried,Post-Graduate,Single,Home,0
39,1074178,688805,Salaried,Post-Graduate,Single,Business,0
35,1166634,403817,Salaried,Graduate,Single,Business,0
29,443481,207084,Self-Employed,Graduate,Single,Personal,0
30,655173,228650,Salaried,Graduate,Married,Home,0
51,781498,261831,Unemployed,Post-Graduate,Single,Personal,0
43,1462379,392033,Self-Employed,High School,Married,Education,0
50,411445,102292,Self-Employed,Post-Graduate,Single,Business,1
53,443769,75483,Salaried,Post-Graduate,Single,Car,0
29,598672,738257,Salaried,High School,Married,Education,0
21,974957,201174,Self-Employed,High School,Single,Home,0
55,384933,788094,Self-Employed,Post-Graduate,Married,Car,0
31,1154793,383529,Salaried,Graduate,Single,Education,0
54,920241,143493,Salaried,Graduate,Divorced,Personal,1
36,721626,432438,Salaried,Graduate,Divorced,Personal,0
29,1000531,508766,Self-Employed,Graduate,Married,Business,0
52,564485,325951,Self-Employed,Graduate,Married,Car,0
35,503986,125765,Self-Employed,High School,Married,Car,0
32,967650,250096,Unemployed,Post-Graduate,Married,Home,0
53,1043595,96062,Self-Employed,Post-Graduate,Married,Business,0
34,1461999,337426,Salaried,Graduate,Married,Personal,0
28,1457410,169529,Self-Employed,Graduate,Married,Car,0
28,1371439,163729,Self-Employed,Graduate,Divorced,Car,0
47,557752,103283,Salaried,Graduate,Married,Business,0
32,1192179,628282,Salaried,Graduate,Divorced,Car,0
21,1213100,499025,Self-Employed,Graduate,Single,Car,0
31,833766,654192,Self-Employed,Graduate,Divorced,Education,0
59,255700,220332,Self-Employed,Graduate,Single,Car,0
51,726827,448715,Self-Employed,Graduate,Single,Home,0
37,832897,396619,Salaried,Graduate,Single,Business,1
53,364230,472533,Self-Employed,High School,Single,Business,0
52,920978,61178,Salaried,Post-Graduate,Married,Home,1
49,1167658,168026,Salaried,Post-Graduate,Single,Education,0
41,438344,566612,Salaried,Post-Graduate,Single,Education,1
41,998713,689773,Salaried,Post-Graduate,Married,Personal,0
43,608336,146137,Salaried,Post-Graduate,Single,Car,0
26,734234,533812,Self-Employed,High School,Single,Home,0
42,1202680,655530,Salaried,Graduate,Married,Business,0
58,1274687,774570,Salaried,Post-Graduate,Single,Education,0
57,1221815,470503,Salaried,High School,Single,Home,0
28,495434,419082,Self-Employed,Graduate,Married,Personal,0
55,951500,412101,Salaried,Graduate,Single,Personal,1
31,889822,763717,Salaried,Graduate,Single,Car,0
44,677388,190226,Salaried,High School,Single,Education,1
41,1260377,370060,Salaried,Graduate,Married,Personal,0
22,591486,269673,Salaried,Post-Graduate,Single,Car,0
39,354782,563903,Self-Employed,High School,Single,Education,0
59,821445,273014,Salaried,Graduate,Married,Personal,0
48,445907,294945,Salaried,Graduate,Single,Business,0
37,765204,586322,Salaried,High School,Divorced,Business,0
26,1130569,210809,Self-Employed,High School,Single,Home,0
39,1080198,246568,Salaried,Post-Graduate,Married,Business,0
58,1284964,276904,Unemployed,Graduate,Single,Business,0
48,1324743,307623,Self-Employed,High School,Married,Education,0
22,1323243,614023,Salaried,High School,Single,Car,0
58,465853,624650,Self-Employed,Post-Graduate,Single,Business,0
57,773042,102286,Salaried,Graduate,Married,Education,0
24,443291,759967,Salaried,Post-Graduate,Single,Business,0
42,1072689,394618,Salaried,Graduate,Single,Personal,0
46,428802,544312,Self-Employed,Graduate,Divorced,Education,0
56,991526,268857,Salaried,Post-Graduate,Single,Car,0
33,969140,155212,Self-Employed,Graduate,Single,Home,0
52,672282,653284,Self-Employed,Graduate,Single,Car,0
37,731760,127790,Salaried,Post-Graduate,Divorced,Home,0
56,236131,324101,Unemployed,Graduate,Married,Business,1
39,809231,335347,Salaried,Graduate,Married,Education,0
55,1426556,490894,Unemployed,Graduate,Single,Car,0
48,905195,222925,Self-Employed,Post-Graduate,Single,Personal,0
21,451267,753722,Self-Employed,Graduate,Married,Car,0
38,1009547,60364,Self-Employed,Graduate,Single,Home,0
53,1241616,265296,Self-Employed,Graduate,Married,Business,0
32,716712,733099,Salaried,Graduate,Divorced,Education,0
28,1295659,636464,Self-Employed,High School,Divorced,Business,0
44,645278,754194,Salaried,Graduate,Single,Personal,0
36,771470,786462,Salaried,Post-Graduate,Married,Home,0
24,327987,612592,Unemployed,Post-Graduate,Single,Home,1
58,988449,590345,Salaried,Graduate,Divorced,Home,1
47,1121727,392653,Salaried,Graduate,Married,Business,0
29,1310428,230990,Salaried,High School,Single,Personal,0
36,431560,496831,Salaried,Graduate,Married,Car,0
32,1036941,219160,Salaried,Graduate,Single,Home,0
51,354147,617580,Salaried,Post-Graduate,Married,Home,0
44,206531,437134,Self-Employed,Graduate,Married,Home,0
34,1122170,144853,Salaried,Post-Graduate,Single,Home,0
45,1468965,99902,Salaried,Graduate,Married,Personal,0
54,1414884,527947,Unemployed,Post-Graduate,Single,Education,0
23,502203,431288,Unemployed,Post-Graduate,Single,Home,0
44,1288599,729098,Self-Employed,Post-Graduate,Single,Education,0
29,398547,790834,Salaried,Graduate,Married,Business,0
46,367696,773314,Salaried,Post-Graduate,Single,Business,0
40,888178,284516,Self-Employed,Post-Graduate,Married,Car,0
30,715034,694012,Salaried,Graduate,Married,Home,1
39,1210592,280230,Unemployed,Graduate,Married,Business,0
23,885460,609906,Salaried,Graduate,Single,Personal,1
44,397968,774275,Self-Employed,Post-Graduate,Married,Personal,1
25,567253,342909,Salaried,High School,Married,Education,0
23,1162200,771089,Salaried,Post-Graduate,Single,Personal,0
47,850970,227208,Self-Employed,Post-Graduate,Single,Home,0
36,749229,599610,Self-Employed,High School,Married,Business,0
35,976078,235185,Self-Employed,Graduate,Single,Business,0
55,652563,192351,Salaried,Graduate,Single,Business,0
32,276629,203088,Self-Employed,Graduate,Married,Home,0
46,1412673,130615,Salaried,Post-Graduate,Married,Car,0
54,691564,336869,Salaried,Graduate,Married,Education,1
43,414326,385663,Salaried,Post-Graduate,Single,Personal,0
51,1036255,171837,Self-Employed,Graduate,Single,Education,0
40,868949,596425,Salaried,High School,Married,Education,1
32,1444634,464932,Self-Employed,High School,Married,Business,0
43,1071990,187606,Salaried,Graduate,Married,Personal,0
24,1361360,109672,Salaried,Post-Graduate,Single,Education,0
43,566533,688958,Salaried,High School,Married,Business,0
21,1058802,175466,Salaried,Graduate,Single,Home,0
45,608271,601253,Salaried,Graduate,Married,Business,0
22,1317319,263665,Salaried,Post-Graduate,Married,Business,0
50,835154,348613,Salaried,Post-Graduate,Single,Home,0
23,289471,683930,Salaried,Post-Graduate,Single,Personal,0
41,909517,375724,Salaried,High School,Single,Personal,0
45,1011447,258417,Salaried,High School,Single,Personal,0
40,450942,315211,Salaried,High School,Single,Car,0
42,935080,666562,Salaried,Graduate,Married,Education,0
41,688295,84212,Unemployed,Graduate,Married,Business,0
53,659402,193289,Salaried,High School,Married,Car,0
58,264430,727231,Salaried,Post-Graduate,Single,Education,0
35,262306,579467,Salaried,Graduate,Single,Business,0
35,278655,512105,Salaried,Graduate,Divorced,Personal,0
45,1321756,302140,Salaried,High School,Married,Home,0
41,250262,269052,Salaried,Graduate,Single,Car,0
44,542096,761724,Salaried,High School,Single,Home,0
25,683649,449135,Self-Employed,Post-Graduate,Married,Personal,0
26,777950,105012,Unemployed,Post-Graduate,Single,Education,0
43,398482,655380,Self-Employed,Graduate,Married,Home,0
24,931325,521763,Salaried,Post-Graduate,Single,Home,0
47,343285,228674,Self-Employed,Post-Graduate,Married,Education,0
38,904347,264762,Salaried,Graduate,Married,Car,0
41,915143,465510,Self-Employed,Graduate,Single,Car,0
48,261353,128272,Salaried,Post-Graduate,Single,Business,0
55,563688,223734,Salaried,Graduate,Single,Business,1
42,346874,525330,Salaried,High School,Single,Personal,0
43,412730,391676,Self-Employed,High School,Married,Education,1
23,712167,664974,Self-Employed,Graduate,Single,Education,0
30,1440294,441477,Salaried,High School,Single,Business,0
45,680405,480627,Self-Employed,Post-Graduate,Single,Car,1
28,1030103,795860,Self-Employed,Graduate,Single,Car,1
31,944997,303634,Salaried,Graduate,Married,Business,0
25,660161,588034,Salaried,Graduate,Single,Education,0
57,1070376,543272,Self-Employed,Post-Graduate,Married,Home,0
58,784978,294511,Salaried,Graduate,Single,Home,0
49,1188033,214500,Self-Employed,Graduate,Married,Personal,0
25,720027,596287,Salaried,Graduate,Single,Car,0
29,374943,151136,Unemployed,Post-Graduate,Single,Education,0
22,1033597,770072,Unemployed,Post-Graduate,Single,Car,0
21,843933,713848,Salaried,High School,Divorced,Home,0
50,1357235,612669,Salaried,Graduate,Single,Education,1
31,884855,722074,Salaried,Graduate,Single,Business,0
48,602860,581065,Salaried,Post-Graduate,Single,Home,1
32,1098477,455257,Salaried,Graduate,Married,Home,0
59,473407,325286,Self-Employed,Post-Graduate,Single,Education,0
46,256480,665684,Self-Employed,Graduate,Single,Car,0
33,1113358,546921,Self-Employed,Graduate,Single,Home,0
28,921201,698042,Salaried,Post-Graduate,Single,Personal,0
48,1149525,316010,Self-Employed,Graduate,Single,Home,0
50,921768,718389,Salaried,Graduate,Married,Car,0
29,811786,219953,Salaried,Post-Graduate,Single,Business,0
59,504707,683469,Salaried,High School,Married,Home,0
51,741702,149889,Self-Employed,Graduate,Married,Education,0
41,584596,457321,Salaried,High School,Married,Car,0
54,537606,302049,Unemployed,Graduate,Single,Home,1
51,969155,638844,Self-Employed,Graduate,Single,Business,0
45,386955,194290,Salaried,Graduate,Married,Education,0
32,1091641,330030,Salaried,Post-Graduate,Married,Personal,0
21,761498,478596,Salaried,Graduate,Married,Home,0
42,870650,248378,Self-Employed,Post-Graduate,Married,Home,0
57,1376286,127507,Salaried,High School,Single,Car,0
21,217660,477945,Salaried,Post-Graduate,Married,Business,0
21,1068894,179539,Salaried,High School,Married,Car,1
41,598024,715147,Self-Employed,Graduate,Married,Personal,0
35,294148,701948,Salaried,Graduate,Married,Personal,0
37,1420147,352663,Salaried,Graduate,Single,Home,0
42,621231,335505,Self-Employed,Graduate,Single,Personal,0
58,233351,509217,Salaried,Post-Graduate,Married,Education,0
55,642878,167131,Unemployed,Post-Graduate,Single,Home,0
36,274674,469024,Self-Employed,Graduate,Single,Education,0
28,236241,719234,Salaried,Post-Graduate,Married,Personal,0
37,594414,549856,Self-Employed,Graduate,Single,Car,1
37,555127,466163,Unemployed,Graduate,Divorced,Home,0
46,564443,90284,Self-Employed,Graduate,Single,Car,0
33,1211789,764511,Salaried,Post-Graduate,Married,Home,0
37,564983,331576,Unemployed,High School,Married,Car,0
58,267983,381722,Salaried,Graduate,Married,Business,1
37,326164,660347,Salaried,Post-Graduate,Married,Home,0
34,1061376,744252,Salaried,High School,Single,Home,0
26,584571,95205,Salaried,Graduate,Single,Education,0
55,474557,582061,Unemployed,High School,Single,Business,0
34,903297,320445,Self-Employed,Graduate,Single,Car,0
28,928445,702305,Self-Employed,High School,Divorced,Business,0
35,1009503,213701,Salaried,Graduate,Single,Car,0
47,1322805,103971,Unemployed,Post-Graduate,Single,Home,0
33,1161335,626230,Salaried,Post-Graduate,Married,Education,0
51,896731,210071,Salaried,Graduate,Single,Car,0
55,852633,542381,Self-Employed,Graduate,Married,Home,1
26,1053974,571509,Salaried,Graduate,Single,Personal,0
25,788103,538860,Salaried,Graduate,Single,Personal,1
42,891996,386332,Unemployed,Post-Graduate,Married,Personal,0
43,1323642,264096,Self-Employed,High School,Married,Home,0
45,1238229,394807,Unemployed,Graduate,Single,Home,0
54,270500,68794,Salaried,Graduate,Married,Car,0
46,252340,668192,Salaried,Graduate,Single,Education,0
25,1377798,576121,Salaried,Graduate,Single,Car,0
46,1282646,345797,Unemployed,High School,Married,Business,0
40,1183886,720679,Salaried,Graduate,Married,Home,0
26,1196430,315748,Self-Employed,Graduate,Single,Home,0
26,608092,710717,Salaried,Graduate,Married,Education,1
38,934863,459473,Self-Employed,Graduate,Married,Car,0
24,907036,78932,Salaried,Graduate,Single,Car,1
37,218262,505952,Salaried,Graduate,Single,Home,0
34,1350985,636007,Self-Employed,Graduate,Divorced,Personal,0
34,416622,639703,Salaried,Post-Graduate,Single,Car,0
33,1140555,114413,Salaried,Graduate,Single,Business,0
27,723049,135141,Self-Employed,Post-Graduate,Married,Personal,1
35,621601,680935,Self-Employed,Graduate,Married,Personal,1
39,1284163,695913,Salaried,Graduate,Single,Car,0
55,1377171,502231,Self-Employed,Graduate,Single,Personal,0
37,1424438,425819,Unemployed,Graduate,Married,Business,0
55,766306,80733,Self-Employed,Graduate,Single,Car,0
39,951790,158030,Self-Employed,High School,Single,Education,0
40,317177,59757,Self-Employed,Graduate,Divorced,Car,0
56,392064,519858,Self-Employed,Graduate,Married,Home,0
55,688594,658700,Salaried,Post-Graduate,Single,Education,0
52,547328,147054,Unemployed,Post-Graduate,Married,Car,0
44,297292,239147,Salaried,Post-Graduate,Married,Personal,0
37,244561,775229,Unemployed,Graduate,Single,Home,1
27,1200098,697139,Salaried,Post-Graduate,Married,Home,0
21,865430,230992,Salaried,Post-Graduate,Single,Education,1
55,1418673,209373,Self-Employed,Graduate,Divorced,Business,0
52,1282355,761417,Salaried,High School,Single,Home,0
56,454745,350465,Salaried,Post-Graduate,Married,Car,0
33,609832,655481,Self-Employed,Post-Graduate,Divorced,Personal,0
26,317715,125462,Self-Employed,Graduate,Single,Education,0
34,973657,734327,Salaried,High School,Married,Business,0
57,300477,377693,Salaried,Graduate,Married,Personal,1
35,1350264,775603,Salaried,High School,Married,Business,0
24,983843,402446,Salaried,Graduate,Single,Education,0
36,1103448,711353,Salaried,High School,Single,Education,0
48,657606,233088,Salaried,Post-Graduate,Married,Business,0
36,973732,540916,Salaried,Post-Graduate,Married,Home,0
24,1302215,539577,Self-Employed,Graduate,Single,Education,0
46,1452874,213209,Self-Employed,Graduate,Single,Business,0
48,212669,381782,Salaried,High School,Single,Home,0
52,1115671,313248,Salaried,Graduate,Single,Home,0
22,546653,613187,Self-Employed,Post-Graduate,Married,Education,0
51,352157,679220,Self-Employed,High School,Single,Car,0
23,228787,207028,Salaried,Graduate,Single,Business,0
28,421692,637062,Salaried,Graduate,Married,Personal,0
44,486195,425289,Unemployed,Graduate,Married,Car,0
35,1299191,556374,Self-Employed,Graduate,Married,Home,0
51,932450,680423,Self-Employed,Post-Graduate,Married,Personal,0
29,907622,394865,Self-Employed,Graduate,Married,Car,0
59,319123,164301,Salaried,Graduate,Married,Home,0
22,590958,103696,Salaried,High School,Single,Personal,1
28,217945,580716,Self-Employed,Graduate,Single,Personal,0
27,945139,393321,Salaried,High School,Single,Home,0
59,576279,715673,Salaried,Graduate,Single,Education,0
36,452565,551696,Salaried,Graduate,Single,Home,0
55,959950,578428,Self-Employed,Graduate,Married,Business,0
50,355299,526688,Self-Employed,Graduate,Married,Home,0
30,948644,577080,Salaried,Post-Graduate,Married,Business,0
58,1301744,661784,Self-Employed,Post-Graduate,Single,Personal,0
38,276086,248630,Salaried,Post-Graduate,Single,Home,0
25,1182599,501990,Salaried,Graduate,Married,Car,0
49,1280348,474257,Salaried,Post-Graduate,Married,Home,0
59,601938,312747,Self-Employed,Graduate,Married,Education,1
54,381214,777924,Salaried,Post-Graduate,Divorced,Home,0
43,791944,581438,Salaried,Graduate,Single,Home,0
25,286884,687481,Salaried,Graduate,Married,Personal,0
50,1365705,106048,Salaried,Post-Graduate,Single,Education,0
26,336949,271510,Unemployed,High School,Single,Home,1
24,702240,131478,Salaried,High School,Married,Car,0
49,1005336,238202,Salaried,Post-Graduate,Divorced,Personal,0
43,548472,642599,Salaried,High School,Married,Business,0
26,1462519,446855,Salaried,Post-Graduate,Single,Education,0
52,1409332,140702,Salaried,Post-Graduate,Single,Education,0
38,431620,231662,Salaried,Post-Graduate,Married,Personal,0
35,235571,176450,Salaried,High School,Divorced,Business,0
52,1055879,361735,Salaried,Post-Graduate,Married,Personal,0
29,276752,647624,Salaried,High School,Married,Education,0
57,660160,646399,Salaried,Graduate,Married,Personal,0
30,1073589,93955,Self-Employed,High School,Married,Personal,0
40,941873,144535,Salaried,Graduate,Divorced,Personal,0
26,409803,440400,Self-Employed,Post-Graduate,Divorced,Education,0
23,781491,502225,Self-Employed,Post-Graduate,Married,Home,0
31,782093,790188,Salaried,High School,Single,Business,0
37,437039,333721,Self-Employed,Graduate,Single,Education,1
52,439185,428089,Self-Employed,High School,Single,Home,0
24,272649,199000,Self-Employed,Graduate,Single,Business,0
24,1116726,211310,Self-Employed,Graduate,Single,Personal,1
37,240910,94639,Salaried,High School,Married,Home,0
39,487136,68199,Salaried,High School,Married,Car,0
25,1458962,766020,Salaried,Post-Graduate,Single,Business,0
52,1073953,379130,Salaried,High School,Single,Home,0
42,1304024,797519,Salaried,Graduate,Divorced,Business,0
26,1162951,538167,Self-Employed,Graduate,Single,Personal,0
55,472930,415354,Salaried,High School,Married,Car,0
42,766994,205821,Salaried,Post-Graduate,Single,Home,0
21,1096429,526258,Salaried,High School,Single,Education,0
40,689660,519504,Salaried,High School,Married,Business,1
42,1481930,180171,Salaried,Post-Graduate,Married,Home,0
31,653850,535370,Self-Employed,Post-Graduate,Married,Personal,0
33,296849,778180,Unemployed,Graduate,Single,Business,0
23,1377789,356882,Salaried,Graduate,Single,Home,0
29,472047,137272,Salaried,Post-Graduate,Married,Personal,1
32,1394215,461776,Self-Employed,High School,Single,Business,0
43,1468069,781509,Self-Employed,Post-Graduate,Divorced,Personal,0
34,1013038,734267,Unemployed,Graduate,Single,Home,0
53,847404,391835,Self-Employed,Graduate,Single,Home,0
38,676192,513589,Salaried,Graduate,Single,Education,0
29,857620,498679,Self-Employed,Post-Graduate,Married,Personal,0
43,1409915,229806,Salaried,Post-Graduate,Single,Business,0
30,913729,371180,Self-Employed,Graduate,Single,Business,0
39,216833,590962,Self-Employed,Post-Graduate,Married,Education,0
25,315256,225963,Self-Employed,Graduate,Divorced,Car,0
43,1252074,166106,Salaried,High School,Married,Education,0
50,396382,252201,Self-Employed,Graduate,Married,Business,0
45,1164233,490458,Self-Employed,Post-Graduate,Single,Personal,0
48,210518,432142,Salaried,Graduate,Married,Education,1
54,933397,255367,Self-Employed,Graduate,Married,Personal,0
45,1270830,137558,Self-Employed,Graduate,Single,Car,0
30,430684,792450,Self-Employed,High School,Single,Business,0
34,805726,528174,Salaried,Graduate,Married,Car,0
50,954381,213366,Unemployed,Graduate,Single,Personal,0
45,618761,372631,Salaried,Graduate,Single,Car,0
34,596561,787588,Self-Employed,High School,Single,Home,0
55,1460554,232362,Unemployed,Graduate,Married,Personal,0
54,985254,68580,Unemployed,Graduate,Married,Education,0
30,649582,443677,Self-Employed,Graduate,Divorced,Personal,0
55,453442,292298,Salaried,High School,Single,Education,0
31,902081,164048,Unemployed,High School,Married,Car,0
31,1046261,172647,Unemployed,Graduate,Married,Business,0
41,1355975,447948,Salaried,Post-Graduate,Married,Home,0
41,733930,636245,Salaried,Graduate,Divorced,Car,1
42,545519,465614,Salaried,Graduate,Single,Personal,0
27,403643,518340,Salaried,Post-Graduate,Divorced,Business,0
37,890395,233492,Salaried,Graduate,Married,Education,0
22,319937,750605,Salaried,Graduate,Single,Personal,0
32,1403231,537202,Unemployed,High School,Single,Car,0
38,674882,762427,Salaried,Graduate,Married,Car,0
31,1290857,619422,Unemployed,Graduate,Single,Business,0
36,1327927,649586,Self-Employed,Post-Graduate,Married,Personal,0
38,1338508,99967,Self-Employed,Graduate,Married,Personal,0
55,617528,320184,Salaried,Graduate,Single,Education,0
46,779940,258967,Salaried,Graduate,Divorced,Car,0
36,593174,699258,Salaried,Graduate,Single,Home,0
26,1199824,611954,Unemployed,Graduate,Married,Car,1
32,296219,446420,Salaried,Graduate,Married,Home,0
33,1489774,553582,Salaried,Post-Graduate,Single,Business,0
24,1161501,83897,Salaried,High School,Married,Business,0
59,624644,277684,Salaried,Graduate,Divorced,Car,0
22,1481943,355159,Unemployed,Post-Graduate,Married,Car,0
46,1438470,592469,Salaried,Graduate,Married,Home,0
47,1406138,593156,Self-Employed,High School,Single,Car,0
47,509495,662431,Salaried,High School,Married,Business,0
35,1289577,74107,Self-Employed,Post-Graduate,Divorced,Business,0
